序号,场景/牌局状态,表情关键词,面部细节,肢体动作,肢体语言描述（寡言克制版）,内心状态,可用台词,静态素材表现说明,适合角色风格,表现强度(1-5),用途标签,动作幅度/构图要求,出图动作提示词（静态游戏素材版）
1,冷静观察,扑克脸、审视,表情克制，眼神略微收紧，嘴角平直,一手轻压底牌边角，另一手停在筹码旁，身体小幅前倾,她维持很稳的坐姿，一手轻轻护住底牌，另一手自然停在筹码旁。上身只做小幅前倾，视线安静地扫过公共牌与对手方向，整体克制、安静，不做夸张表演。,在安静地收集信息，判断桌面节奏,……先看看。,静态立绘式表现，重点保留眼神、手部与桌面信息，不使用动画或分镜效果,高手型/寡言型,2,观察/铺垫,中等：轻护底牌+视线观察，桌面需出现公共牌与筹码，姿态清晰但不过分夸张,"anime girl playing Texas Hold'em at a poker table, reserved and taciturn personality, subtle poker face, one hand lightly protecting her two hole cards, other hand resting near chip stacks, slight forward lean, calm focused eyes on the community cards, green felt table, clean static game asset, no motion effects, no storyboard effects"
2,拿到好牌但装平静,克制、微妙愉悦,表面平静，眼神略亮，嘴角几乎没有变化,双指低位看牌，另一手缓慢整理筹码，身体自然靠坐,她只在低位确认底牌，动作很轻，另一手缓慢整理一枚或几枚筹码。身体放松地靠在椅背上，情绪被压得很低，只从眼神的轻微变化里透露出手牌不错。,拿到优势手牌，但不想让任何人看出来,跟。,以静态素材方式表现“强牌却克制”，不加内心字幕、运镜或动画效果,冷静型/寡言型,2,强牌/隐藏,中等：低位看牌+轻整理筹码，姿态松弛，重点是“藏得住”,"anime girl with a strong starting hand at a Texas Hold'em table, taciturn and restrained, checking her hole cards low near the felt, other hand lightly sorting poker chips, seated calmly, almost expressionless face with slightly brighter eyes, green felt table, static character asset, no motion effects, no storyboard"
3,拿到烂牌但强撑镇定,僵住、强撑镇定,眉眼短暂发紧，神情很快恢复平静,手指把底牌按得稍紧，另一手把筹码收近一点，肩膀略僵,看完底牌后，她只出现很短暂的停顿：手指略微按紧底牌，另一手将筹码轻轻收近。肩膀有一点僵，但很快恢复成平稳坐姿，整体依旧是克制的。,手牌不理想，但不愿轻易暴露情绪,……继续。,静态素材强调细微破绽，不做夸张汗滴特效或分镜表现,冷淡型/寡言型,2,烂牌/伪装,中等：按牌稍紧+筹码轻收，动作幅度不大，突出细微不自然感,"anime girl at a Texas Hold'em table after seeing a weak hand, reserved and taciturn, almost expressionless, fingertips pressing the hole cards a little too tightly, other hand drawing chips slightly closer, subtle tension in shoulders, green felt table, clean static game asset, no motion or cinematic effects"
4,诈唬时的假自信,假镇定、轻微施压,表情平稳，眼神有一点飘移,单手把筹码推向前方，另一手自然压住底牌，身体略向后靠,她以很稳的动作把筹码推出去，像是在做一件再普通不过的事；另一手轻压底牌，身体略向后靠。整体不是张扬的挑衅，而是寡言角色常见的冷静施压。,想维持主动权，也在赌对手会退缩,加注。,静态素材以清楚读出“下注施压”为主，不使用夸张特效或镜头语言,冷静型/压迫型,3,诈唬/施压,中等偏大：推筹码动作清晰，姿态沉稳，桌面下注关系明确,"anime girl bluffing in Texas Hold'em, taciturn and composed, one hand pushing a stack of chips forward, other hand lightly resting on her hole cards, slight lean back, calm unreadable face with subtly uncertain eyes, green poker table, static game asset, no motion blur, no storyboard effects"
5,被对手加注,警觉、收紧,瞳孔微缩，眉头轻压，表情收住,原本的动作停住，手悬在筹码上方，身体略微后收,面对对手加注，她的动作只是突然停住：手悬在筹码上方没有落下，身体微微往后收，视线落在对手方向。没有大幅震惊，而是把警觉感藏在静止里。,局势突然复杂，需要重新评估,……,静态素材用“动作停顿”表现被加注，不做黑场、音效或分镜描写,高手型/寡言型,3,反转/危机,中等：手停半空+身体微后收，强调停顿感与警觉感,"anime girl reacting to an opponent's raise at a Texas Hold'em table, reserved and quiet, hand paused above the chips, body drawing back slightly, other hand near the table, subtle narrowed eyes, expression controlled, opponent's raised chips visible, static character asset, no cinematic or storyboard effects"
6,陷入苦思,沉思、推理,眉头轻锁，视线停在公共牌上,双肘轻压桌面，双手靠近嘴前或交握，身体前倾思考,她将双肘轻压在桌面上，手靠近嘴前或自然交握，上身前倾一些，视线稳定地停在公共牌上。整体不是戏剧化的苦恼，而是安静、持续的思考。,在复盘对手的下注逻辑与牌型范围,……不对。,静态素材突出思考姿态与牌面关系，不添加回忆分镜或动态特效,侦探型/寡言型,3,决策/思考,中等偏大：前倾思考+公共牌清晰，强调桌面信息和人物专注感,"anime girl deep in thought during a Texas Hold'em hand, taciturn and restrained, elbows lightly on the poker table, hands near her mouth, slight forward lean, eyes fixed on the community cards, green felt table, analytical atmosphere, clean static game asset, no motion or storyboard effects"
7,自以为看穿对手,看穿、笃定,眼神更锋利一些，嘴角只有极轻微变化,身体略前探，一手指向公共牌或下注区域，另一手压住底牌,她只是略微前探身体，用一根手指指向公共牌或下注区域，另一手稳稳压住底牌。动作明确但不夸张，像是安静地指出一个结论。,已经判断出对手的破绽,我知道了。,静态素材聚焦“指出关键信息”的动作，不添加公式、火花等视觉特效,冷锐型/寡言型,3,推理/反击,中等：前探+指出关键位置，动作要清楚但保持克制,"anime girl at a Texas Hold'em table realizing the opponent's weakness, reserved and taciturn, slight forward lean, one index finger indicating the community cards or betting line, other hand resting on her hole cards, sharp controlled eyes, static game asset, no dramatic effects or storyboard"
8,赢牌后的得意,淡淡得意、从容,嘴角略有上扬，眼神平稳而自信,一手亮出胜利底牌，另一手把筹码收回自己面前，姿态稳定,她平静地将获胜底牌亮在桌面前方，同时把筹码收回自己面前。动作干净、利落，没有夸张炫耀，只透出一丝胜券在握后的从容。,赢下这一局，但不需要高调庆祝,这局是我的。,静态素材突出胜负结果和收筹码动作，不做推进镜头或音效描写,自信型/寡言型,3,胜利/收池,中等：亮牌+收筹码，结果关系清晰，表情克制,"anime girl winning a Texas Hold'em pot, taciturn and composed, revealing her winning hole cards with one hand and pulling chips toward herself with the other, subtle confident expression, green felt poker table, clean static character asset, no motion or storyboard effects"
9,输光后的崩溃,沉默失落、发怔,眼神发空，嘴角下压，表情很淡,身体轻靠椅背，双手无力放下，桌前筹码区空了,输光后，她只是安静地靠向椅背，双手自然落下，桌前筹码区已经空了，底牌散在面前。不是夸张崩溃，而是短暂失神后的沉默。,一时难以接受结果，情绪被压在心里,……结束了。,静态素材表现“安静的失败”，不使用灵魂出窍、灰场等夸张动画效果,冷淡型/寡言型,3,失败/失落,中等：轻靠椅背+空筹码区+散落底牌，画面重点是落差感,"anime girl after losing all chips in Texas Hold'em, quiet and restrained, leaning back slightly in her chair, hands lowered weakly, empty chip area in front of her, hole cards on the green felt, subdued blank stare, static game asset, no comedic effects, no storyboard"
10,All-in 时的决绝,决绝、专注,眼神集中，表情平静但坚定,双手把全部筹码推向桌中央，身体适度前压，底牌留在手边,她双手把全部筹码推向桌中央，动作直接而稳定，上身适度前压，视线专注。不是热血爆发式的夸张表现，而是沉默角色下定决心后的干脆。,已经做出最终决定，不再犹豫,All in。,静态素材强调“All-in”动作本身，不添加火焰、风压等动态特效,决断型/寡言型,4,高潮/决战,中等偏大：双手推全部筹码+前压，动作明确，构图干净,"anime girl going all-in at a Texas Hold'em table, taciturn and determined, both hands pushing all chip stacks into the center, body leaning forward with controlled resolve, hole cards near her hands, focused calm eyes, green felt table, static game asset, no cinematic climax effects"
11,明明慌了但装高手,强撑沉稳、细微慌张,表情严肃，只有眼角与手部略显紧张,坐姿笔直，一手扶着下巴，另一手压住底牌与筹码，腿部不作为重点表现,她保持笔直坐姿，一手轻扶下巴，另一手压住底牌与筹码。整体看起来依旧很稳，只在指尖力度和眼神停顿里透露一点紧张，不用夸张反差。,想维持高手形象，但内心已有波动,……还行。,静态素材以细微不自然感表现紧张，不做上下半身分镜式反差演出,反差型/寡言型,3,诈唬/反差,中等：坐姿稳+扶下巴+压牌压筹码，靠细节表现紧张,"anime girl at a Texas Hold'em table pretending to stay calm, taciturn and restrained, sitting upright, one hand lightly supporting her chin, the other resting on her hole cards and chips, serious face with subtle tension in the fingers and eyes, static game asset, no comedic or storyboard effects"
